brand_model,price,year
RENAULT Duster NEW,1 064 000 ₽,2021
LADA Granta хэтчбек,465 900 ₽,2021
SUZUKI SX4,1 459 990 ₽,2021
Kia Rio NEW,1 220 900 ₽,2021
УАЗ Пикап New,1 172 000 ₽,2021
SUZUKI Jimny,1 479 000 ₽,2020
УАЗ Патриот New,1 359 900 ₽,2021
УАЗ Патриот New,858 000 ₽,2021
CHERY Tiggo 7 Pro,1 339 900 ₽,2020
HYUNDAI Solaris NEW,916 000 ₽,2021
CITROEN C3 Aircross,1 564 000 ₽,2020
RENAULT Duster NEW,969 000 ₽,2021
CITROEN C5 Aircross,2 514 000 ₽,2020
RENAULT Kaptur,1 457 000 ₽,2021
RENAULT Sandero,778 000 ₽,2021
Kia K5,2 022 900 ₽,2020
HYUNDAI Elantra,1 394 000 ₽,2021
SUZUKI Jimny,1 479 000 ₽,2020
Kia Sorento NEW,2 342 900 ₽,2021
УАЗ Патриот New,883 900 ₽,2021
УАЗ Патриот New,1 304 900 ₽,2021
MITSUBISHI ASX NEW,1 312 000 ₽,2020
SUZUKI SX4,1 439 000 ₽,2021
Kia Ceed,1 484 900 ₽,2021
PEUGEOT 408,1 211 000 ₽,2021
Cheryexeed TXL,2 049 900 ₽,2021
SUZUKI SX4,1 609 990 ₽,2021
RENAULT Kaptur,1 457 000 ₽,2021
LADA XRAY Cross,870 900 ₽,2021
Kia Rio NEW,1 009 900 ₽,2021
SUZUKI Vitara,1 219 000 ₽,2021
Kia Sorento NEW,2 342 900 ₽,2021
УАЗ Патриот New,1 174 900 ₽,2021
Kia Mohave,3 699 900 ₽,2021
Jeep Renegade,2 074 000 ₽,2019
LADA Vesta,666 900 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
LADA Vesta,962 900 ₽,2020
Kia Picanto,985 900 ₽,2021
Kia Seltos,1 386 900 ₽,2021
MITSUBISHI ASX NEW,1 385 000 ₽,2020
Kia Cerato,1 400 900 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
УАЗ Патриот New,1 319 000 ₽,2021
RENAULT Kaptur,1 166 000 ₽,2021
HYUNDAI Elantra,1 364 000 ₽,2021
RENAULT Duster NEW,1 405 000 ₽,2021
Kia Mohave,3 809 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
MITSUBISHI Outlander,1 830 000 ₽,2021
LADA Granta лифтбек,550 500 ₽,2021
Kia Soul,1 364 900 ₽,2021
RENAULT Kaptur,1 216 000 ₽,2021
Kia Cerato,1 460 900 ₽,2021
LADA Niva Travel,797 900 ₽,2021
Kia Sorento NEW,2 632 900 ₽,2021
RENAULT Duster NEW,1 319 000 ₽,2021
Kia Rio X,1 129 900 ₽,2021
RENAULT Sandero Stepway,1 031 000 ₽,2021
RENAULT Duster NEW,1 064 000 ₽,2021
LADA Granta универсал,509 500 ₽,2021
MITSUBISHI ASX NEW,1 385 000 ₽,2020
Kia Sorento NEW,2 632 900 ₽,2021
LADA Vesta CNG,761 900 ₽,2021
Kia Soul,1 399 900 ₽,2021
RENAULT Logan,790 000 ₽,2021
Kia Ceed,1 809 900 ₽,2021
RENAULT Arkana,1 502 000 ₽,2021
Kia Sportage,1 692 900 ₽,2021
HYUNDAI Palisade,3 524 000 ₽,2021
HYUNDAI Palisade,3 404 000 ₽,2021
RENAULT Duster NEW,1 455 000 ₽,2021
RENAULT Logan,790 000 ₽,2021
RENAULT Kaptur,1 639 000 ₽,2021
RENAULT Sandero,790 000 ₽,2021
PEUGEOT 3008 NEW,2 284 000 ₽,2021
RENAULT Logan,667 000 ₽,2021
Kia Ceed,1 619 900 ₽,2021
RENAULT Master,2 484 000 ₽,2021
Kia Seltos,1 581 900 ₽,2021
LADA Niva Travel,858 900 ₽,2021
Kia Ceed,1 739 900 ₽,2021
HYUNDAI Tucson NEW,2 364 000 ₽,2021
LADA Vesta SW,745 900 ₽,2021
RENAULT Arkana,1 408 000 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
Kia Rio NEW,1 034 900 ₽,2021
LADA Vesta,790 900 ₽,2021
HYUNDAI Solaris NEW,1 134 000 ₽,2021
CITROEN C3 Aircross,1 597 000 ₽,2020
RENAULT Duster NEW,1 340 000 ₽,2021
Kia Sorento NEW,2 342 900 ₽,2021
MITSUBISHI Eclipse Cross NEW,2 213 000 ₽,2021
Kia Cerato,1 460 900 ₽,2021
LADA Vesta,835 900 ₽,2021
УАЗ Комби (3909),780 000 ₽,2021
Kia Ceed SW,1 524 900 ₽,2021
Kia Rio X,1 100 900 ₽,2021
RENAULT Kaptur,1 457 000 ₽,2021
SUZUKI Vitara,1 219 000 ₽,2021
SUZUKI SX4,1 569 990 ₽,2021
Kia Soul,1 399 900 ₽,2021
Kia Seltos,1 581 900 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
Kia Sportage,1 857 900 ₽,2021
УАЗ Патриот New,883 900 ₽,2021
Kia Ceed,1 739 900 ₽,2021
Jeep Grand Cherokee,4 265 000 ₽,2021
RENAULT Logan,803 000 ₽,2021
RENAULT Arkana,1 688 000 ₽,2021
Kia Carnival,3 094 900 ₽,2021
HYUNDAI Solaris NEW,1 081 000 ₽,2021
SUZUKI Vitara,1 339 990 ₽,2021
HYUNDAI H-1,2 649 000 ₽,2021
HYUNDAI Tucson NEW,1 792 000 ₽,2021
Kia Sportage,1 857 900 ₽,2021
Kia Ceed,1 484 900 ₽,2021
RENAULT Arkana,1 775 000 ₽,2021
PEUGEOT Partner Crossway,1 207 000 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
SUZUKI Vitara,1 805 000 ₽,2021
LADA Granta лифтбек,594 800 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
Kia Cerato,1 330 900 ₽,2021
LADA Vesta,781 900 ₽,2021
HYUNDAI Solaris NEW,921 000 ₽,2021
LADA Niva Travel,676 900 ₽,2021
RENAULT Logan Stepway,964 000 ₽,2021
Kia Sportage,2 197 900 ₽,2021
Kia Rio NEW,1 015 900 ₽,2021
RENAULT Kaptur,1 559 000 ₽,2021
Kia Ceed,1 484 900 ₽,2021
CHERY Tiggo 4,1 029 900 ₽,2021
Jeep Wrangler Unlimited,4 775 000 ₽,2021
MITSUBISHI Outlander,1 836 500 ₽,2021
LADA Vesta,889 900 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
RENAULT Duster NEW,1 359 000 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Duster NEW,1 395 000 ₽,2021
HYUNDAI Palisade,3 494 000 ₽,2021
Kia Ceed SW,1 809 900 ₽,2021
PEUGEOT 2008,1 929 000 ₽,2021
RENAULT Sandero Stepway,833 000 ₽,2021
Kia Sportage,1 692 900 ₽,2021
RENAULT Duster NEW,1 399 000 ₽,2021
RENAULT Duster NEW,1 269 000 ₽,2021
CITROEN Jumpy Profi,2 624 900 ₽,2020
RENAULT Arkana,1 768 000 ₽,2021
Kia Cerato,1 515 900 ₽,2021
CITROEN Jumpy,1 646 900 ₽,2021
RENAULT Duster NEW,1 192 000 ₽,2021
RENAULT Logan Stepway,803 000 ₽,2021
HYUNDAI Santa Fe,2 682 000 ₽,2021
УАЗ Пикап New,1 377 000 ₽,2021
LADA Vesta,842 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Kaptur,1 216 000 ₽,2021
Kia Soul,1 279 900 ₽,2021
RENAULT Sandero Stepway,833 000 ₽,2021
HYUNDAI Santa Fe,2 802 000 ₽,2021
LADA Granta,482 500 ₽,2021
LADA Granta универсал,557 500 ₽,2021
LADA Granta универсал,518 500 ₽,2021
Jeep Grand Cherokee,4 265 000 ₽,2021
Kia Seltos,1 581 900 ₽,2021
HYUNDAI Solaris NEW,971 000 ₽,2021
Kia Seltos,1 541 900 ₽,2021
RENAULT Kaptur,1 360 000 ₽,2021
Kia Sorento NEW,3 022 900 ₽,2021
Kia Soul,1 504 900 ₽,2021
PEUGEOT Traveller,3 209 900 ₽,2021
LADA Niva Travel,858 900 ₽,2021
Kia Soul,1 504 900 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
CITROEN C5 Aircross,3 011 000 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
HYUNDAI Santa Fe,3 002 000 ₽,2021
УАЗ Патриот New,1 319 000 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
LADA Vesta,690 900 ₽,2021
RENAULT Kaptur,1 550 000 ₽,2021
RENAULT Logan,667 000 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia XCeed,2 194 900 ₽,2021
Kia Soul,1 424 900 ₽,2021
RENAULT Kaptur,1 559 000 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
Kia Soul,1 504 900 ₽,2021
Kia K5,2 042 900 ₽,2021
MITSUBISHI ASX NEW,1 332 000 ₽,2021
RENAULT Duster NEW,1 250 000 ₽,2021
Kia Carnival,3 349 900 ₽,2021
УАЗ Патриот New,1 184 000 ₽,2021
Kia Sportage,1 777 900 ₽,2021
HYUNDAI Solaris NEW,881 000 ₽,2021
УАЗ Хантер,885 400 ₽,2021
LADA Granta Drive Active,646 900 ₽,2021
УАЗ Патриот New,1 359 900 ₽,2021
PEUGEOT 2008,2 134 000 ₽,2021
Kia Sportage,1 817 900 ₽,2021
LADA Vesta,660 900 ₽,2021
LADA XRAY,642 900 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
Kia Soul,1 809 900 ₽,2021
SUZUKI Vitara,1 219 000 ₽,2021
RENAULT Arkana,1 620 000 ₽,2021
RENAULT Logan,775 000 ₽,2021
HYUNDAI Creta,1 267 000 ₽,2021
CHERY Tiggo 4,1 069 900 ₽,2021
LADA Niva Travel,848 900 ₽,2021
Jeep Grand Cherokee,4 265 000 ₽,2021
RENAULT Logan Stepway,914 000 ₽,2021
LADA Vesta,678 900 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
RENAULT Logan Stepway,927 000 ₽,2021
LADA Niva,707 000 ₽,2020
