brand,model,year,price,dummy
Renault,Duster NEW,2021,1 064 000 ₽,1
Lada,Granta хэтчбек,2021,465 900 ₽,1
Suzuki,SX4,2021,1 459 990 ₽,1
Kia,Rio NEW,2021,1 220 900 ₽,1
Уаз,Пикап New,2021,1 172 000 ₽,1
Suzuki,Jimny,2020,1 479 000 ₽,1
Уаз,Патриот New,2021,1 359 900 ₽,1
Уаз,Патриот New,2021,858 000 ₽,1
Chery,Tiggo 7 Pro,2020,1 339 900 ₽,1
Hyundai,Solaris NEW,2021,916 000 ₽,1
Citroen,C3 Aircross,2020,1 564 000 ₽,1
Renault,Duster NEW,2021,969 000 ₽,1
Citroen,C5 Aircross,2020,2 514 000 ₽,1
Renault,Kaptur,2021,1 457 000 ₽,1
Renault,Sandero,2021,778 000 ₽,1
Kia,K5,2020,2 022 900 ₽,1
Hyundai,Elantra,2021,1 394 000 ₽,1
Suzuki,Jimny,2020,1 479 000 ₽,1
Kia,Sorento NEW,2021,2 342 900 ₽,1
Уаз,Патриот New,2021,883 900 ₽,1
Уаз,Патриот New,2021,1 304 900 ₽,1
Mitsubishi,ASX NEW,2020,1 312 000 ₽,1
Suzuki,SX4,2021,1 439 000 ₽,1
Kia,Ceed,2021,1 484 900 ₽,1
Peugeot,408,2021,1 211 000 ₽,1
Cheryexeed,TXL,2021,2 049 900 ₽,1
Suzuki,SX4,2021,1 609 990 ₽,1
Renault,Kaptur,2021,1 457 000 ₽,1
Lada,XRAY Cross,2021,870 900 ₽,1
Kia,Rio NEW,2021,1 009 900 ₽,1
Suzuki,Vitara,2021,1 219 000 ₽,1
Kia,Sorento NEW,2021,2 342 900 ₽,1
Уаз,Патриот New,2021,1 174 900 ₽,1
Kia,Mohave,2021,3 699 900 ₽,1
Jeep,Renegade,2019,2 074 000 ₽,1
Lada,Vesta,2021,666 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Lada,Vesta,2020,962 900 ₽,1
Kia,Picanto,2021,985 900 ₽,1
Kia,Seltos,2021,1 386 900 ₽,1
Mitsubishi,ASX NEW,2020,1 385 000 ₽,1
Kia,Cerato,2021,1 400 900 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Уаз,Патриот New,2021,1 319 000 ₽,1
Renault,Kaptur,2021,1 166 000 ₽,1
Hyundai,Elantra,2021,1 364 000 ₽,1
Renault,Duster NEW,2021,1 405 000 ₽,1
Kia,Mohave,2021,3 809 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Mitsubishi,Outlander,2021,1 830 000 ₽,1
Lada,Granta лифтбек,2021,550 500 ₽,1
Kia,Soul,2021,1 364 900 ₽,1
Renault,Kaptur,2021,1 216 000 ₽,1
Kia,Cerato,2021,1 460 900 ₽,1
Lada,Niva Travel,2021,797 900 ₽,1
Kia,Sorento NEW,2021,2 632 900 ₽,1
Renault,Duster NEW,2021,1 319 000 ₽,1
Kia,Rio X,2021,1 129 900 ₽,1
Renault,Sandero Stepway,2021,1 031 000 ₽,1
Renault,Duster NEW,2021,1 064 000 ₽,1
Lada,Granta универсал,2021,509 500 ₽,1
Mitsubishi,ASX NEW,2020,1 385 000 ₽,1
Kia,Sorento NEW,2021,2 632 900 ₽,1
Lada,Vesta CNG,2021,761 900 ₽,1
Kia,Soul,2021,1 399 900 ₽,1
Renault,Logan,2021,790 000 ₽,1
Kia,Ceed,2021,1 809 900 ₽,1
Renault,Arkana,2021,1 502 000 ₽,1
Kia,Sportage,2021,1 692 900 ₽,1
Hyundai,Palisade,2021,3 524 000 ₽,1
Hyundai,Palisade,2021,3 404 000 ₽,1
Renault,Duster NEW,2021,1 455 000 ₽,1
Renault,Logan,2021,790 000 ₽,1
Renault,Kaptur,2021,1 639 000 ₽,1
Renault,Sandero,2021,790 000 ₽,1
Peugeot,3008 NEW,2021,2 284 000 ₽,1
Renault,Logan,2021,667 000 ₽,1
Kia,Ceed,2021,1 619 900 ₽,1
Renault,Master,2021,2 484 000 ₽,1
Kia,Seltos,2021,1 581 900 ₽,1
Lada,Niva Travel,2021,858 900 ₽,1
Kia,Ceed,2021,1 739 900 ₽,1
Hyundai,Tucson NEW,2021,2 364 000 ₽,1
Lada,Vesta SW,2021,745 900 ₽,1
Renault,Arkana,2021,1 408 000 ₽,1
Lada,XRAY Cross,2021,733 900 ₽,1
Kia,Rio NEW,2021,1 034 900 ₽,1
Lada,Vesta,2021,790 900 ₽,1
Hyundai,Solaris NEW,2021,1 134 000 ₽,1
Citroen,C3 Aircross,2020,1 597 000 ₽,1
Renault,Duster NEW,2021,1 340 000 ₽,1
Kia,Sorento NEW,2021,2 342 900 ₽,1
Mitsubishi,Eclipse Cross NEW,2021,2 213 000 ₽,1
Kia,Cerato,2021,1 460 900 ₽,1
Lada,Vesta,2021,835 900 ₽,1
Уаз,Комби (3909),2021,780 000 ₽,1
Kia,Ceed SW,2021,1 524 900 ₽,1
Kia,Rio X,2021,1 100 900 ₽,1
Renault,Kaptur,2021,1 457 000 ₽,1
Suzuki,Vitara,2021,1 219 000 ₽,1
Suzuki,SX4,2021,1 569 990 ₽,1
Kia,Soul,2021,1 399 900 ₽,1
Kia,Seltos,2021,1 581 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Kia,Sportage,2021,1 857 900 ₽,1
Уаз,Патриот New,2021,883 900 ₽,1
Kia,Ceed,2021,1 739 900 ₽,1
Jeep,Grand Cherokee,2021,4 265 000 ₽,1
Renault,Logan,2021,803 000 ₽,1
Renault,Arkana,2021,1 688 000 ₽,1
Kia,Carnival,2021,3 094 900 ₽,1
Hyundai,Solaris NEW,2021,1 081 000 ₽,1
Suzuki,Vitara,2021,1 339 990 ₽,1
Hyundai,H-1,2021,2 649 000 ₽,1
Hyundai,Tucson NEW,2021,1 792 000 ₽,1
Kia,Sportage,2021,1 857 900 ₽,1
Kia,Ceed,2021,1 484 900 ₽,1
Renault,Arkana,2021,1 775 000 ₽,1
Peugeot,Partner Crossway,2021,1 207 000 ₽,1
Renault,Sandero Stepway,2021,916 000 ₽,1
Suzuki,Vitara,2021,1 805 000 ₽,1
Lada,Granta лифтбек,2021,594 800 ₽,1
Lada,XRAY Cross,2021,733 900 ₽,1
Kia,Cerato,2021,1 330 900 ₽,1
Lada,Vesta,2021,781 900 ₽,1
Hyundai,Solaris NEW,2021,921 000 ₽,1
Lada,Niva Travel,2021,676 900 ₽,1
Renault,Logan Stepway,2021,964 000 ₽,1
Kia,Sportage,2021,2 197 900 ₽,1
Kia,Rio NEW,2021,1 015 900 ₽,1
Renault,Kaptur,2021,1 559 000 ₽,1
Kia,Ceed,2021,1 484 900 ₽,1
Chery,Tiggo 4,2021,1 029 900 ₽,1
Jeep,Wrangler Unlimited,2021,4 775 000 ₽,1
Mitsubishi,Outlander,2021,1 836 500 ₽,1
Lada,Vesta,2021,889 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Renault,Duster NEW,2021,1 359 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
