area_sqm,price,region
36.7,4850000,"Амурская область, Благовещенск"
44.7,6660000,Санкт-Петербург
25.5,4245000,"Ленинградская область, Всеволожский р-н, Муринское городское поселение, Мурино"
49.0,8900000,"Московская область, Мытищи"
45.0,7700000,"Московская область, Одинцовский г.о., Одинцово"
39.6,10300000,"Москва, Новомосковский административный округ, поселение Внуковское"
32.0,2660000,"Забайкальский край, Чита"
50.0,4500000,
128.0,13800000,
89.2,4600000,
60.0,1950000,"Самарская область, Тольятти"
53.6,18400000,Москва
70.0,11990000,Санкт-Петербург
31.0,2770000,
125.0,2000000,
48.0,4690000,
40.0,3150000,"Ростовская область, Ростов-на-Дону"
31.0,4100000,"Хабаровский край, Хабаровск"
26.4,2400000,"Кемеровская область, Кемерово"
27.5,2600000,"Амурская область, Благовещенск"
41.7,9500000,Санкт-Петербург
60.0,1600000,"Ярославская область, Рыбинск"
31.3,1750000,"Иркутская область, Ангарский г.о., Ангарск"
75.3,8600000,"Амурская область, Благовещенск"
38.0,10350000,Москва
88.2,7500000,"Ростовская область, Ростов-на-Дону"
80.0,5900000,"Иркутская область, Иркутск"
66.0,3200000,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
40.0,1399999,"Республика Башкортостан, Салават"
53.0,820000,"Республика Хакасия, г.о. Черногорск, пос. городского типа Пригорск"
36.0,1800000,"Самарская область, Сызрань"
13.5,1350000,"Тюменская область, Нижневартовск"
43.0,1200000,"Республика Саха (Якутия), Мирнинский муниципальный р-н, пос. Айхал"
58.4,3600000,"Тюменская область, Нижневартовск"
41.0,4165900,"Архангельская область, Архангельск"
116.0,7900000,"Красноярский край, Красноярск"
60.0,3000000,"Волгоградская область, Волгоград"
45.0,4240000,"Тульская область, Тула"
63.2,5999999,"Хабаровский край, Хабаровск"
60.0,4200000,"Тульская область, Тула"
25.3,5400000,Санкт-Петербург
67.6,2500000,"Республика Саха (Якутия), г.о. Жатай, рабочий пос. Жатай"
36.6,4300000,"Амурская область, Благовещенск"
40.6,2690000,"Тверская область, Тверь"
77.0,6800000,"Ростовская область, Батайск"
40.0,3900000,"Иркутская область, Иркутск"
54.0,3100000,"Удмуртская Республика, Ижевск"
73.0,9400000,"Хабаровский край, Хабаровск"
64.1,4200000,"Калужская область, Калуга"
65.0,5150000,"Иркутская область, Братск"
49.3,4290000,"Архангельская область, Северодвинск"
49.0,1300000,"Хабаровский край, Советско-Гаванский р-н, городское поселение Рабочий Посёлок Заветы Ильича, пос. городского типа Заветы Ильича"
50.0,3000000,"Ставропольский край, Ставрополь"
37.4,5200000,"Хабаровский край, Хабаровск"
70.0,3800000,"Алтайский край, Барнаул"
43.0,2450000,"Пермский край, Пермь"
43.0,2450000,"Пермский край, Пермь"
56.0,8000000,"Московская область, Одинцовский г.о., Одинцово"
43.2,7000000,"Московская область, Долгопрудный"
81.6,12000000,Санкт-Петербург
96.0,44000000,Москва
15.2,3300000,Москва
42.6,870000,"Амурская область, Райчихинск"
50.9,6539365,
58.5,7775180,
48.0,8650800,
