region,price,house_area_sqm,plot_area_cot
"Челябинская область, Красноармейский р-н, с. Бродокалмак",1150000.0,72.0,19.5
"Липецкая область, Становлянский р-н, с. Становое",799000.0,64.0,14.5
"Ставропольский край, Ставрополь",4150000.0,155.0,8.0
"Республика Бурятия, Улан-Удэ",5900000.0,103.0,8.8
"Ставропольский край, Предгорный р-н, с. Винсады",3000000.0,63.0,4.0
"Республика Коми, г.о. Ухта, садовое товарищество Водненские Дачи",550000.0,30.0,6.0
"Свердловская область, Горноуральский г.о., пос. Первомайский",850000.0,50.0,22.0
,10000.0,80.0,4.5
,3000.0,70.0,1.0
,2000.0,65.0,3.0
"Оренбургская область, Сакмарский р-н, с. Янгиз-Марьевка",600000.0,65.0,4.0
"Смоленская область, Смоленск",4820000.0,186.0,8.0
"Краснодарский край, Северский р-н, станица Азовская",5500000.0,134.0,4.5
,2000.0,80.0,7.0
,490000.0,70.0,6.0
,3000.0,60.0,10.0
"Московская область, Можайский г.о., Можайск",11000000.0,100.0,7.7
"Московская область, г.о. Пушкинский, коттеджный пос. Аляска",4900000.0,143.0,6.0
"Московская область, Одинцовский г.о., садовое товарищество Гранат",150000.0,415.0,12.0
"Амурская область, Райчихинск",450000.0,42.0,25.0
"Республика Крым, Симферополь",3500000.0,40.0,1.0
"Краснодарский край, Сочи",70000000.0,495.0,7.0
"Краснодарский край, Туапсинский р-н, с. Навагинское",1500000.0,47.0,19.0
"Тамбовская область, Сампурский р-н, пос. Сатинка",2600000.0,118.0,7.0
"Ивановская область, Пестяковский р-н, Пестяковское городское поселение, пос. городского типа Пестяки",150000.0,35.2,7.5
"Республика Крым, Джанкой",3000000.0,60.0,6.0
"Краснодарский край, Сочи",20000.0,200.0,5.0
"Московская область, Домодедово",8499999.0,112.0,6.0
"Брянская область, Брянский р-н, Снежское сельское поселение, с. Толмачево, СДТ Мир",900000.0,20.0,2.0
"Республика Карелия, Калевальский р-н, пос. Боровой",400000.0,47.2,10.0
"Республика Бурятия, Тункинский р-н, улус Улан-Горхон",850000.0,91.0,8.0
"Новгородская область, Новгородский р-н, Борковское сельское поселение, д. Фарафоново",6450000.0,230.0,25.0
"Владимирская область, Собинский р-н, муниципальное образование Город Лакинск, Лакинск, садовые участки Дружба",700000.0,72.0,6.0
"Тюменская область, Тюменский р-н, с. Богандинское, коттеджный пос. Килки",1300000.0,46.0,7.5
"Ростовская область, Батайск",13000000.0,175.0,5.3
"Самарская область, Сызранский р-н, с. Печерское",960000.0,38.0,20.0
"Ставропольский край, Благодарненский г.о., с. Алексеевское",850000.0,80.0,12.0
"Красноярский край, Манский р-н, д. Верхняя Есауловка",1200000.0,71.0,21.0
"Краснодарский край, Гулькевичский р-н, Новоукраинское сельское поселение, с. Новоукраинское",2200000.0,79.9,14.0
"Ивановская область, Иваново",13000000.0,270.0,11.0
"Ленинградская область, Подпорожский р-н, с. Шеменичи",2900000.0,90.0,15.0
"Краснодарский край, Краснодар",3000000.0,49.0,1.0
"Астраханская область, Астрахань",3000000.0,56.0,9.2
"Самарская область, Сызрань",2950000.0,120.0,6.5
"Новосибирская область, Сузунский р-н, рабочий пос. Сузун",1350000.0,45.0,14.0
"Еврейская автономная область, Смидовичский р-н, с. Владимировка",6700000.0,250.0,30.0
"Республика Башкортостан, Уфа",6500.0,211.0,23.0
"Республика Мордовия, Рузаевский р-н, пос. Ключарёвские Выселки",2000000.0,140.0,20.0
"Омская область, Горьковский р-н, с. Сухое",600000.0,77.0,28.0
"Алтайский край, Егорьевский р-н, с. Новоегорьевское",300000.0,70.3,10.0
"Алтайский край, Троицкий р-н, пос. Беловский",600000.0,62.1,17.0
"Республика Крым, г.о. Ялта, пос. городского типа Гаспра",28800000.0,288.0,4.0
"Белгородская область, Старооскольский г.о., Старый Оскол, СНТ Водник",360000.0,20.0,4.3
"Кемеровская область, Новокузнецкий р-н, пос. Староабашево",550000.0,36.0,6.0
"Свердловская область, Екатеринбург, СТ Олимпийский",1400000.0,56.0,5.8
"Краснодарский край, Новокубанский р-н, Советское сельское поселение, станица Советская",1000000.0,56.0,15.0
"Ростовская область, Батайск",13000000.0,175.0,5.3
"Ставропольский край, Ставрополь",4150000.0,155.0,8.0
"Алтайский край, Егорьевский р-н, с. Новоегорьевское",300000.0,70.3,10.0
"Красноярский край, Манский р-н, д. Верхняя Есауловка",1200000.0,71.0,21.0
"Республика Башкортостан, Уфа",6500.0,211.0,23.0
"Астраханская область, Астрахань",3000000.0,56.0,9.2
"Республика Татарстан, Лаишевский р-н",8835000.0,220.0,8.0
,4500000.0,80.0,6.0
,3000.0,20.0,10.0
,12000.0,120.0,1.5
"Краснодарский край, Сочи",20000.0,200.0,5.0
"Тюменская область, Тюмень",8000.0,120.0,50.0
"Свердловская область, Екатеринбург, СТ Олимпийский",1400000.0,56.0,5.8
,2500.0,40.0,5.0
,3000.0,50.0,6.0
,3300.0,50.0,50.0
"Омская область, Горьковский р-н, с. Сухое",600000.0,77.0,28.0
"Липецкая область, Елец",3100000.0,50.0,7.0
"Ивановская область, Иваново",13000000.0,270.0,11.0
"Белгородская область, Старооскольский г.о., Старый Оскол, СНТ Водник",360000.0,20.0,4.3
"Республика Крым, г.о. Ялта, пос. городского типа Гаспра",28800000.0,288.0,4.0
"Краснодарский край, г.о. Сочи, с. Нижнее Учдере",4000.0,70.0,10.0
"Краснодарский край, Краснодар",3000000.0,49.0,1.0
"Краснодарский край, Новокубанский р-н, Советское сельское поселение, станица Советская",1000000.0,56.0,15.0
"Ленинградская область, Ломоносовский р-н, Виллозское городское поселение, садоводческое некоммерческое товарищество Надежда-ВАТТ",6000.0,65.0,2.0
"Московская область, Дмитровский г.о., д. Селёвкино, СНТ Лесное-2",11900000.0,250.0,24.0
"Еврейская автономная область, Смидовичский р-н, с. Владимировка",6700000.0,250.0,30.0
"Брянская область, Брянский р-н, Снежское сельское поселение, с. Толмачево, СДТ Мир",900000.0,20.0,2.0
"Новосибирская область, Сузунский р-н, рабочий пос. Сузун",1350000.0,45.0,14.0
"Белгородская область, Ракитянский р-н, с. Введенская Готня",780000.0,73.0,80.0
"Алтайский край, Троицкий р-н, пос. Беловский",600000.0,62.1,17.0
"Владимирская область, Кольчугинский р-н, д. Фомино",1600000.0,110.0,8.0
"Краснодарский край, Армавир",3200000.0,120.0,3.0
"Московская область, г.о. Солнечногорск, д. Фёдоровка",19999999.0,290.0,9.0
"Новосибирская область, Новосибирский р-н, Мочищенский сельсовет, дачный пос. Мочище, СНТ Волна",900000.0,36.0,4.0
"Липецкая область, Добровский р-н, с. Доброе",1650000.0,90.0,5.0
"Краснодарский край, г.о. Сочи, с. Весёлое",19000000.0,200.0,5.0
"Республика Мордовия, Рузаевский р-н, пос. Ключарёвские Выселки",2000000.0,140.0,20.0
"Кемеровская область, Новокузнецкий р-н, пос. Староабашево",550000.0,36.0,6.0
"Республика Татарстан, Елабужский р-н, муниципальное образование город Елабуга, Елабуга",5950000.0,108.0,10.0
"Челябинская область, г.о. Копейск, СТ Берёзка 1",500000.0,20.0,6.0
"Краснодарский край, г.о. Анапа, с. Витязево",2500.0,55.0,3.0
"Республика Калмыкия, Элиста",3000000.0,48.0,5.3
"Алтайский край, Красногорский р-н, с. Усть-Иша",1000000.0,53.0,18.0
"Калининградская область, Полесский г.о., пос. Красное",750000.0,43.0,6.0
"Белгородская область, Чернянский р-н, пос. городского типа Чернянка",4500000.0,370.0,15.0
"Красноярский край, Канск",1150000.0,40.0,4.0
"Забайкальский край, Чита",4500000.0,136.0,11.0
"Удмуртская Республика, Ижевск",400000.0,40.0,6.0
"Алтайский край, Бийск, садоводство Текстильщик-3",250000.0,20.0,4.0
"Липецкая область, Тербунский р-н, с. Новосильское",550000.0,72.0,50.0
"Ленинградская область, Кировский р-н, Синявинское городское поселение, садоводческий массив Восход, садоводческое некоммерческое товарищество Ладога",850000.0,40.0,7.0
"Московская область, г.о. Мытищи, пос. Вёшки, коттеджный пос. Новые Вёшки",350000.0,305.0,6.0
"Краснодарский край, Крымский р-н, станица Варениковская",3250000.0,71.4,15.0
"Челябинская область, Чебаркульский г.о., Чебаркуль, садоводческое некоммерческое товарищество Медик",600000.0,60.0,6.0
"Краснодарский край, г.о. Сочи, с. Верхневесёлое",42000000.0,330.0,7.0
"Краснодарский край, г.о. Сочи, с. Орёл-Изумруд",110000.0,135.0,2.0
"Новосибирская область, Сузунский р-н, рабочий пос. Сузун",1350000.0,45.0,14.0
"Алтайский край, Троицкий р-н, пос. Беловский",600000.0,62.1,17.0
"Краснодарский край, г.о. Сочи, с. Весёлое",19000000.0,200.0,5.0
"Краснодарский край, Крымский р-н, станица Варениковская",3250000.0,71.4,15.0
"Республика Татарстан, Елабужский р-н, муниципальное образование город Елабуга, Елабуга",5950000.0,108.0,10.0
"Челябинская область, Чебаркульский г.о., Чебаркуль, садоводческое некоммерческое товарищество Медик",600000.0,60.0,6.0
,3500.0,50.0,20.0
,2000.0,80.0,7.0
,25000000.0,360.0,12.0
"Калининградская область, Полесский г.о., пос. Красное",750000.0,43.0,6.0
"Кемеровская область, Новокузнецкий р-н, пос. Староабашево",550000.0,36.0,6.0
"Республика Калмыкия, Элиста",3000000.0,48.0,5.3
,13000.0,277.0,28.0
,8000.0,230.0,7.0
,1000.0,250.0,10.0
"Красноярский край, Канск",1150000.0,40.0,4.0
"Свердловская область, Невьянский г.о., СНТ Лесные Дачи",450000.0,36.0,7.5
"Белгородская область, Чернянский р-н, пос. городского типа Чернянка",4500000.0,370.0,15.0
"Республика Мордовия, Рузаевский р-н, пос. Ключарёвские Выселки",2000000.0,140.0,20.0
"Алтайский край, Красногорский р-н, с. Усть-Иша",1000000.0,53.0,18.0
"Брянская область, Брянский р-н, Снежское сельское поселение, с. Толмачево, СДТ Мир",900000.0,20.0,2.0
"Челябинская область, г.о. Копейск, СТ Берёзка 1",500000.0,20.0,6.0
"Краснодарский край, Краснодар",3800000.0,86.0,2.0
"Удмуртская Республика, Ижевск",400000.0,40.0,6.0
"Пермский край, Пермский р-н, Култаевское сельское поселение, пос. Протасы",3100000.0,135.0,9.0
"Алтайский край, Бийск, садоводство Текстильщик-3",250000.0,20.0,4.0
"Липецкая область, Тербунский р-н, с. Новосильское",550000.0,72.0,50.0
"Республика Дагестан, Кизлярский р-н, пос. Мангулаул",580000.0,1201.0,12.0
"Ставропольский край, Ставрополь",1500000.0,80.0,6.0
"Краснодарский край, г.о. Сочи, с. Верхневесёлое",42000000.0,330.0,7.0
"Костромская область, Красносельский р-н, д. Гомониха",5000.0,110.0,15.0
"Оренбургская область, Оренбургский р-н, садовое некоммерческое товарищество Карачи",2950000.0,99.3,5.0
"Тюменская область, Нижневартовск, садово-огородническое товарищество Успех",1150000.0,60.0,5.0
"Ленинградская область, Кировский р-н, Синявинское городское поселение, садоводческий массив Восход, садоводческое некоммерческое товарищество Ладога",850000.0,40.0,7.0
"Московская область, г.о. Мытищи, пос. Вёшки, коттеджный пос. Новые Вёшки",350000.0,305.0,6.0
"Ленинградская область, Киришский р-н, Кусинское сельское поселение, садоводческий массив Посадников остров, садоводческое некоммерческое товарищество Монтажник",305000.0,28.0,14.0
"Новгородская область, Чудовский р-н, д. Водосье",350000.0,28.1,20.0
"Краснодарский край, Ейский р-н, Ейское городское поселение, Ейск",14571396.0,520.0,8.0
"Иркутская область, Ангарский г.о., Ангарск, ДНТ Надежда Китоя",7500000.0,170.0,13.0
"Курганская область, Шатровский р-н, с. Шатрово",1100000.0,54.0,17.0
"Белгородская область, Старооскольский г.о., садовые участки Отдых",100000.0,20.0,5.2
"Воронежская область, Репьёвский р-н, Истобнинское сельское поселение, с. Истобное",450000.0,100.0,62.0
"Ставропольский край, Изобильненский г.о., с. Тищенское",350000.0,43.0,1.0
"Республика Крым, Евпатория",2000.0,55.0,2.0
