land_area,price,region
12.5 сот,300000.0,"Челябинская область, Сосновский р-н, пос. Полевой"
6 сот,435000.0,"Ставропольский край, Невинномысск, СНТ Заря"
10 сот,650000.0,"Республика Башкортостан, Уфимский р-н, Зубовский сельсовет"
14 сот,50000.0,"Пермский край, Кунгурский р-н, Ергачинское сельское поселение, пос. при станции Ергач"
24 сот,60000.0,"Республика Татарстан, Нижнекамский р-н, с. Елантово"
3.3 сот,80000.0,"Челябинская область, Челябинск, СНТ Металлург"
5.5 сот,500000.0,"Алтайский край, Новоалтайск"
5 сот,500000.0,
5 сот,500000.0,
64 га,2000000.0,
3.7 сот,2000000.0,"град-Скопье, пригород Шуто Оризари"
33 сот,195000.0,"Красноярский край, Большеулуйский р-н, Новоеловский сельсовет, пос. Новая Еловка"
9 сот,250000.0,"Кемеровская область, Кемеровский г.о., Кемерово"
10 сот,685000.0,
4 сот,200000.0,
13 сот,590000.0,
12 сот,350000.0,"Иркутская область, Усольский р-н, рабочий пос. Тайтурка"
8 сот,1595000.0,"Московская область, г.о. Домодедово, СНТ Ильинское"
4.3 сот,195000.0,"Томская область, Томск, садовое товарищество Микрон"
7 сот,235000.0,"Иркутская область, Иркутск"
10 сот,350000.0,"Липецкая область, Липецкий р-н, с. Боринское"
14 сот,250000.0,"Томская область, Томский р-н"
8.5 сот,270000.0,"Алтайский край, Павловский р-н, с. Павловск"
2.01 га,450000000.0,"Московская область, Одинцовский г.о., рабочий пос. Заречье"
13 сот,420000.0,"Забайкальский край, Читинский р-н, с. Смоленка"
50 сот,7600000.0,"Республика Башкортостан, г.о. Уфа, д. Искино"
8.4 сот,750000.0,"Иркутская область, Иркутский р-н, СНТ Лайнер"
16 сот,6700000.0,"Московская область, г.о. Подольск"
20 сот,200000.0,"Амурская область, Благовещенский р-н, с. Новотроицкое"
28 сот,200000.0,"Калужская область, Дзержинский р-н, д. Екимково"
8 сот,1100000.0,"Республика Крым, Сакский р-н, с. Крыловка"
12.6 сот,350000.0,"Новосибирская область, Ордынский р-н, с. Красный Яр"
30 сот,370000.0,"Тюменская область, г.о. Сургут"
6 сот,400000.0,"Тюменская область, Сургутский р-н, дачное некоммерческое товарищество Восточное"
6.2 сот,250000.0,"Калужская область, Боровский р-н, садовое товарищество Лесное"
11.94 га,700000.0,"Республика Алтай, Майминский р-н"
16 сот,400000.0,"Иркутская область, Иркутский р-н, рабочий пос. Маркова"
