area_sqm,price,region
50.0,1750000,"Республика Дагестан, Каспийск"
59.1,13790000,Москва
36.0,3900000,"Ростовская область, Ростов-на-Дону"
35.6,5530000,Санкт-Петербург
88.2,12670000,Санкт-Петербург
65.0,9110000,Санкт-Петербург
58.7,8400000,Санкт-Петербург
39.4,4839288,
43.3,4889510,
40.3,5355910,
29.4,4800000,Санкт-Петербург
58.7,8900000,Санкт-Петербург
80.0,11860000,Санкт-Петербург
32.1,4368320,
32.6,4494660,
57.9,9727200,
79.1,11630000,Санкт-Петербург
75.5,12020000,Санкт-Петербург
94.6,12510000,Санкт-Петербург
47.2,6000000,"Крым, Ялта"
45.3,5000000,"Московская область, Балашиха"
29.4,2060000,"Алтайский край, Барнаул"
55.1,4545000,"Ставропольский край, Ставрополь"
43.6,6200000,"Крым, Ялта"
52.2,2790000,"Брянская область, Брянск"
46.6,2375000,"Брянская область, Брянск"
24.7,2900000,"Ленинградская область, Мурино"
35.0,1499000,"Республика Северная Осетия — Алания, Владикавказ"
98.1,3600000,"Ставропольский край, Ессентуки"
83.0,5170000,"Пензенская область, Пенза"
38.0,4550000,"Ленинградская область, Мурино"
63.8,3500000,"Брянская область, Брянск"
43.0,750000,"Марий Эл, Медведево"
76.5,4977000,"Пензенская область, Пенза"
82.0,6950000,"Краснодарский край, Новороссийск"
43.0,4200000,"Ростовская область, Ростов-на-Дону"
61.0,4649000,"Пензенская область, Пенза"
98.4,6302000,"Пензенская область, Пенза"
121.0,4000000,"Ставропольский край, Ессентуки"
60.4,3264000,"Воронежская область, Отрадное"
76.7,6668500,"Башкортостан, Уфа"
24.0,2800000,"Ростовская область, Ростов-на-Дону"
55.0,4199555,"Ставропольский край, Ставрополь"
66.0,2900000,"Ростовская область, Таганрог"
40.6,2337000,"Воронежская область, Отрадное"
64.6,3290000,"Тамбовская область, Тамбов"
46.0,4250000,"Ростовская область, Ростов-на-Дону"
38.4,2772000,"Пензенская область, Пенза"
36.0,4400000,"Краснодарский край, Новороссийск"
28.0,2150000,"Пензенская область, Пенза"
45.0,2860000,"Республика Северная Осетия — Алания, Владикавказ"
27.0,2900000,"Краснодарский край, Краснодар"
55.8,5850000,"Ленинградская область, Мурино"
249.5,14000000,"Белгородская область, Старый Оскол"
61.0,6350000,Санкт-Петербург
90.0,4600000,"Ставропольский край, Ессентуки"
43.0,2950000,"Пензенская область, Пенза"
71.0,28000000,Москва
41.8,5000000,"Краснодарский край, Новороссийск"
42.0,5900000,"Краснодарский край, Анапа"
77.6,4064000,"Воронежская область, Отрадное"
42.0,12500000,Москва
100.0,11900000,"Нижегородская область, Нижний Новгород"
54.8,6630800,
54.0,6299466,
54.2,9485000,
44.0,20500000,"Краснодарский край, Сочи"
71.0,8500000,"Самарская область, Самара"
44.8,2850000,"Ярославская область, Ярославль"
50.9,6539365,
22.0,4633560,
51.8,6653730,
22.5,5585000,Москва
37.8,4700000,"Краснодарский край, Краснодар"
60.0,5250000,"Калининградская область, Калининград"
200.0,5500000,"Дагестан, Махачкала"
59.7,4670000,"Владимирская область, Ковров"
75.5,5100000,"Тюменская область, Тюмень"
36.9,5498900,Санкт-Петербург
55.8,3515400,"Красноярский край, Красноярск"
53.0,7950000,"Московская область, Королев"
61.0,4000000,"Республика Татарстан, Бугульминский р-н, Бугульма"
58.0,3485000,"Брянская область, Брянск"
67.0,15250000,Санкт-Петербург
56.6,12100000,"Краснодарский край, Сочи"
42.0,2350000,"Ярославская область, Ярославль"
63.1,10500000,Санкт-Петербург
94.0,7050000,"Ростовская область, Ростов-на-Дону"
42.9,1800000,"Дагестан, Махачкала"
38.5,6785000,Москва
45.1,6000000,"Краснодарский край, Анапа"
40.0,2050000,"Башкортостан, Нефтекамск"
44.0,6000000,"Московская область, Балашиха"
34.2,2150000,"Ставропольский край, Ставрополь"
36.3,2763191,"Ростовская область, Ростов-на-Дону"
37.0,2630000,"Пензенская область, Пенза"
41.3,3138800,"Ростовская область, Ростов-на-Дону"
29.8,2386400,"Архангельская область, Архангельск"
45.4,3050000,"Чувашия, Чебоксары"
37.4,3750000,"Краснодарский край, Краснодар"
50.0,6900100,Санкт-Петербург
54.9,11500000,Санкт-Петербург
27.0,2800000,"Татарстан, Казань"
36.3,3590000,"Ханты-Мансийский АО, Сургут"
49.0,3447000,"Карелия, Петрозаводск"
81.1,5400000,"Тюменская область, Тюмень"
35.0,3300000,"Калининградская область, Калининград"
59.0,6400000,"Ленинградская область, Мурино"
40.5,4050000,"Краснодарский край, Краснодар"
22.0,2084211,"Ростовская область, Ростов-на-Дону"
53.0,2950000,"Северная Осетия, Владикавказ"
58.0,6430000,Санкт-Петербург
23.4,4150000,Санкт-Петербург
61.1,10100000,Санкт-Петербург
